date,event,audience,phase,action,source_id,checked_at
2025-10-15,Medicine and Dentistry equal-consideration deadline,Medicine and Dentistry applicants,Application,Deadline reminder and form-completeness support before deadline,uom_ug_applying_2026,2026-06-02
2026-01-14,UG equal-consideration deadline,Most undergraduate applicants,Application,Deadline reminder and application support,uom_ug_applying_2026,2026-06-02
2026-02-26,UCAS Extra opens,Eligible applicants without offers,Application,Explain eligibility and available course discovery,uom_ug_applying_2026,2026-06-02
2026-05-13,University decision day,On-time undergraduate applicants,Decision,Prepare offer-holder and unsuccessful-applicant journeys,uom_ug_applying_2026,2026-06-02
2026-06-03,Replying to an offer deadline,Offer-holders receiving decision by 13 May,Offer-holder conversion,Final reminder sequence with consent checks,uom_ug_applying_2026,2026-06-02
2026-06-27,Undergraduate open day,Prospective students,Awareness and consideration,Registration prompt and post-event follow-up,uom_open_days_2026,2026-06-02
2026-06-30,Application deadline for 2026,Late undergraduate applicants,Application,Deadline reminder; explain clearing transition,uom_ug_applying_2026,2026-06-02
2026-07-02,Early clearing opens and Manchester full list goes live,Clearing prospects,Clearing,Update registration prompt and live course-link journey,uom_ug_applying_2026,2026-06-02
2026-07-04,Undergraduate open day,Prospective students,Awareness and consideration,Registration prompt and post-event follow-up,uom_open_days_2026,2026-06-02
2026-07-06/2026-07-10,Virtual undergraduate open days,Prospective students unable to attend in person,Awareness and consideration,Session registration prompts by topic,uom_open_days_2026,2026-06-02
2026-10-03,Undergraduate open day,Prospective students,Awareness and consideration,Registration prompt when booking opens,uom_open_days_2026,2026-06-02
2026-10-10,Undergraduate open day,Prospective students,Awareness and consideration,Registration prompt when booking opens,uom_open_days_2026,2026-06-02
2026-11-16/2026-11-20,Virtual undergraduate open days,Prospective students unable to attend in person,Awareness and consideration,Session registration prompts by topic,uom_open_days_2026,2026-06-02
