program,ucas_code,entry_year,domicile,applications,shortlisted_for_interview,offers_made,publication_status,source_id,checked_at,notes
MBChB Medicine (5 years),A106,2026,Home,2607,1667,985,provisional_week_5,uom_medicine_application_data,2026-06-02,Applications marked Week 5 on source page; figures may change slightly.
MBChB Medicine (5 years),A106,2026,Overseas,1036,191,40,provisional_week_5,uom_medicine_application_data,2026-06-02,Applications marked Week 5 on source page; figures may change slightly.
MBChB Medicine (5 years),A106,2025,Home,1601,1285,896,historical_published,uom_medicine_application_data,2026-06-02,Historical published count.
MBChB Medicine (5 years),A106,2025,Overseas,704,322,162,historical_published,uom_medicine_application_data,2026-06-02,Historical published count.
MBChB Medicine (5 years),A106,2024,Home,1689,1288,897,historical_published,uom_medicine_application_data,2026-06-02,Historical published count.
MBChB Medicine (5 years),A106,2024,Overseas,703,308,136,historical_published,uom_medicine_application_data,2026-06-02,Historical published count.
MBChB Medicine (5 years),A106,2023,Home,2181,1248,733,historical_published,uom_medicine_application_data,2026-06-02,Historical published count.
MBChB Medicine (5 years),A106,2023,Overseas,795,261,71,historical_published,uom_medicine_application_data,2026-06-02,Historical published count.
MBChB Medicine (5 years),A106,2022,Home,2599,1258,375,historical_published,uom_medicine_application_data,2026-06-02,Historical published count.
MBChB Medicine (5 years),A106,2022,Overseas,861,199,20,historical_published,uom_medicine_application_data,2026-06-02,Historical published count.
MBChB Medicine (5 years),A106,2021,Home,2795,1587,870,historical_published,uom_medicine_application_data,2026-06-02,Historical published count.
MBChB Medicine (5 years),A106,2021,Overseas,599,178,48,historical_published,uom_medicine_application_data,2026-06-02,Historical published count.
MBChB Medicine (5 years),A106,2020,Home,2469,1557,979,historical_published,uom_medicine_application_data,2026-06-02,Historical published count.
MBChB Medicine (5 years),A106,2020,Overseas,715,267,119,historical_published,uom_medicine_application_data,2026-06-02,Historical published count.
Graduate Entry Medicine,A101,2026,Home,594,157,91,provisional_week_5,uom_medicine_application_data,2026-06-02,Applications marked Week 5 on source page; figures may change slightly.
Graduate Entry Medicine,A101,2026,Overseas,171,10,6,provisional_week_5,uom_medicine_application_data,2026-06-02,Applications marked Week 5 on source page; figures may change slightly.
