start_date,end_date,event,population,audience,phase,channel,owner_team,primary_kpi,recommended_action,date_type,source_id
2025-09-02,2025-09-02,UCAS applications open,UG,Prospective students,Discovery,Email + landing page,Student Marketing,Course-page visits,Launch course discovery journey,Official public date,uom_ug_applying_2026
2025-10-15,2025-10-15,Medicine and Dentistry deadline,UG,Medicine and Dentistry applicants,Application,Email,Admissions + Marketing,Application completions,Send final form-completeness reminder,Official public date,uom_ug_applying_2026
2026-01-14,2026-01-14,UG equal-consideration deadline,UG,Most undergraduate applicants,Application,Email + landing page,Student Marketing,Application completions,Send final application support reminder,Official public date,uom_ug_applying_2026
2026-02-26,2026-02-26,UCAS Extra opens,UG,Eligible applicants without offers,Application,Email + landing page,Student Marketing,Course discovery clicks,Explain eligibility and course discovery,Official public date,uom_ug_applying_2026
2026-05-13,2026-05-13,University decision day,UG,On-time undergraduate applicants,Decision,Email,Admissions + Marketing,Journey activation rate,Start segmented offer-holder and unsuccessful-applicant journeys,Official public date,uom_ug_applying_2026
2026-06-03,2026-06-03,Replying to an offer deadline,UG,Offer-holders receiving decisions by 13 May,Offer-holder conversion,Email,Student Marketing,Reply completion,Final consent-aware reminder,Official public date,uom_ug_applying_2026
2026-06-27,2026-06-27,Undergraduate open day,UG,Prospective students,Awareness and consideration,Open Day + email,Events + Marketing,Registrations and attendance,Registration prompt and post-event follow-up,Official public date,uom_open_days_2026
2026-06-30,2026-06-30,Application deadline for 2026,UG,Late undergraduate applicants,Application,Email + landing page,Student Marketing,Application completions,Explain clearing transition,Official public date,uom_ug_applying_2026
2026-07-02,2026-07-02,Early Clearing opens; Manchester list goes live,UG,Clearing prospects,Clearing,Email + paid search + landing page,Clearing team + Marketing,Clearing update registrations,Launch Clearing update journey and live course link,Official public date,uom_clearing_2026
2026-07-04,2026-07-04,Undergraduate open day,UG,Prospective students,Awareness and consideration,Open Day + email,Events + Marketing,Registrations and attendance,Registration prompt and post-event follow-up,Official public date,uom_open_days_2026
2026-07-06,2026-07-10,Virtual undergraduate open days,UG,Prospective students unable to attend in person,Awareness and consideration,Virtual event + email,Events + Marketing,Session registrations,Send topic-level registration prompts,Official public date,uom_open_days_2026
2026-09-24,2026-09-24,Final date for applications,UG,Late applicants,Clearing,Email + landing page,Clearing team,Completed applications,Final late-stage reminder,Official public date,uom_clearing_2026
2026-10-03,2026-10-03,Undergraduate open day,UG,Prospective students,Awareness and consideration,Open Day + email,Events + Marketing,Registrations,Registration prompt when booking opens,Official public date,uom_open_days_2026
2026-10-10,2026-10-10,Undergraduate open day,UG,Prospective students,Awareness and consideration,Open Day + email,Events + Marketing,Registrations,Registration prompt when booking opens,Official public date,uom_open_days_2026
2026-10-19,2026-10-19,Clearing closes,UG,Clearing prospects,Clearing,Email,Clearing team,Journey evaluation,Close campaign and report outcomes,Official public date,uom_clearing_2026
2026-11-16,2026-11-20,Virtual undergraduate open days,UG,Prospective students unable to attend in person,Awareness and consideration,Virtual event + email,Events + Marketing,Session registrations,Send topic-level registration prompts,Official public date,uom_open_days_2026
2026-07-15,2026-07-15,PGT webinar planning checkpoint,PGT,PGT prospects,Discovery,Webinar + email,Faculty Marketing,Webinar registrations,Example editable planning event,Planning template,custom_template
