population,cycle,cycle_week,snapshot_date,faculty,school,department,sub_department,course_code,course_name,fee_status,country_of_domicile,academic_level,month_of_entry,mode_of_attendance,applications,offers,replies,acceptances,status_new,status_in_review,status_conditional_offer,status_unconditional_offer,status_rejected,status_withdrawn,deferred,target,provisional_student_number,data_mode
UG,2023,1,2022-09-26,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,38,0,0,0,8,38,0,0,0,0,0,331,317,Synthetic demonstration
UG,2023,2,2022-10-03,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 2+,September,FT,51,0,0,0,11,51,0,0,0,0,0,331,317,Synthetic demonstration
UG,2023,3,2022-10-10,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,63,0,0,0,13,63,0,0,0,0,0,331,317,Synthetic demonstration
UG,2023,4,2022-10-17,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,72,0,0,0,15,72,0,0,0,0,0,331,317,Synthetic demonstration
UG,2023,5,2022-10-24,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,90,0,0,0,18,90,0,0,0,0,0,331,317,Synthetic demonstration
UG,2023,6,2022-10-31,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,113,2,0,0,22,110,2,0,1,0,0,331,317,Synthetic demonstration
UG,2023,7,2022-11-07,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,135,6,0,0,26,126,5,1,3,0,0,331,317,Synthetic demonstration
UG,2023,8,2022-11-14,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,162,11,0,0,30,145,9,2,5,1,0,331,317,Synthetic demonstration
UG,2023,9,2022-11-21,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,191,17,0,0,35,165,14,3,8,1,0,331,317,Synthetic demonstration
UG,2023,10,2022-11-28,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,227,25,0,0,41,189,20,5,11,2,0,331,317,Synthetic demonstration
UG,2023,11,2022-12-05,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 2+,September,FT,263,34,1,1,46,210,28,6,16,3,0,331,317,Synthetic demonstration
UG,2023,12,2022-12-12,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 2+,September,FT,299,46,4,3,51,229,38,8,21,3,0,331,317,Synthetic demonstration
UG,2023,13,2022-12-19,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,340,59,7,5,57,250,48,11,27,4,0,331,317,Synthetic demonstration
UG,2023,14,2022-12-26,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 2+,September,FT,377,74,12,9,62,264,61,13,34,5,0,331,317,Synthetic demonstration
UG,2023,15,2023-01-02,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,412,90,18,13,66,274,74,16,41,7,1,331,317,Synthetic demonstration
UG,2023,16,2023-01-09,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,450,108,26,19,70,284,89,19,50,8,1,331,317,Synthetic demonstration
UG,2023,17,2023-01-16,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,481,126,35,25,73,288,103,23,58,9,1,331,317,Synthetic demonstration
UG,2023,18,2023-01-23,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,514,146,47,34,76,290,120,26,67,11,2,331,317,Synthetic demonstration
UG,2023,19,2023-01-30,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,539,165,59,42,78,287,135,30,75,12,2,331,317,Synthetic demonstration
