objective,evaluation_design,field,purpose,data_boundary
Increase Open Day attendance and application starts,Randomised A/B test,campaign_id,Join activity to the approved campaign definition,Campaign tracking field
Increase Open Day attendance and application starts,Randomised A/B test,lead_id,Join consent-aware CRM events to the relevant record,Approved internal field required
Increase Open Day attendance and application starts,Randomised A/B test,consent_status,Check whether marketing communication is permitted,Approved internal field required
Increase Open Day attendance and application starts,Randomised A/B test,course_interest,Required for objective-specific measurement or workflow routing,Approved internal field required
Increase Open Day attendance and application starts,Randomised A/B test,open_day_registered,Required for objective-specific measurement or workflow routing,Approved internal field required
Increase Open Day attendance and application starts,Randomised A/B test,event_attended,Measure attendance,Approved internal field required
Increase Open Day attendance and application starts,Randomised A/B test,course_page_view,Required for objective-specific measurement or workflow routing,Approved internal field required
Increase Open Day attendance and application starts,Randomised A/B test,application_started,Measure application-journey entry,Approved internal field required
Increase Open Day attendance and application starts,Randomised A/B test,application_submitted,Measure completed applications,Approved internal field required
Increase Open Day attendance and application starts,Randomised A/B test,email_delivered,Measure delivery,Approved internal field required
Increase Open Day attendance and application starts,Randomised A/B test,email_opened,Measure engagement,Approved internal field required
Increase Open Day attendance and application starts,Randomised A/B test,email_clicked,Measure engagement,Approved internal field required
Increase Open Day attendance and application starts,Randomised A/B test,opt_out,Monitor the communication guardrail,Approved internal field required
Increase Open Day attendance and application starts,Randomised A/B test,timestamp,Support sequence timing and time-to-action reporting,Campaign tracking field
