course,ucas_code,entry_year,domicile,applications,shortlisted_for_interview,offers_made,source_id,interview_rate,offer_per_application_rate,offer_per_interview_rate
MBChB Medicine (5 years),A106,2026,Home,2607,1667,985,uom_medicine_data,0.6394322976601458,0.3778289221327196,0.590881823635273
MBChB Medicine (5 years),A106,2026,Overseas,1036,191,40,uom_medicine_data,0.18436293436293436,0.03861003861003861,0.2094240837696335
MBChB Medicine (5 years),A106,2025,Home,1601,1285,896,uom_medicine_data,0.8026233603997501,0.5596502186133666,0.6972762645914397
MBChB Medicine (5 years),A106,2025,Overseas,704,322,162,uom_medicine_data,0.45738636363636365,0.23011363636363635,0.5031055900621118
MBChB Medicine (5 years),A106,2024,Home,1689,1288,897,uom_medicine_data,0.7625814091178212,0.5310834813499112,0.6964285714285714
MBChB Medicine (5 years),A106,2024,Overseas,703,308,136,uom_medicine_data,0.43812233285917496,0.1934566145092461,0.44155844155844154
MBChB Medicine (5 years),A106,2023,Home,2181,1248,733,uom_medicine_data,0.5722145804676754,0.33608436497019717,0.5873397435897436
MBChB Medicine (5 years),A106,2023,Overseas,795,261,71,uom_medicine_data,0.3283018867924528,0.08930817610062892,0.2720306513409962
MBChB Medicine (5 years),A106,2022,Home,2599,1258,375,uom_medicine_data,0.4840323201231243,0.1442862639476722,0.29809220985691576
MBChB Medicine (5 years),A106,2022,Overseas,861,199,20,uom_medicine_data,0.2311265969802555,0.023228803716608595,0.10050251256281408
MBChB Medicine (5 years),A106,2021,Home,2795,1587,870,uom_medicine_data,0.5677996422182469,0.3112701252236136,0.5482041587901701
MBChB Medicine (5 years),A106,2021,Overseas,599,178,48,uom_medicine_data,0.29716193656093487,0.08013355592654424,0.2696629213483146
MBChB Medicine (5 years),A106,2020,Home,2469,1557,979,uom_medicine_data,0.6306196840826246,0.39651680842446335,0.6287732819524727
MBChB Medicine (5 years),A106,2020,Overseas,715,267,119,uom_medicine_data,0.3734265734265734,0.16643356643356644,0.44569288389513106
BDS Dentistry (5 years),A206,2025,Home,730,351,126,uom_dentistry_stats,0.4808219178082192,0.1726027397260274,0.358974358974359
BDS Dentistry (5 years),A206,2025,Overseas,94,15,11,uom_dentistry_stats,0.1595744680851064,0.11702127659574468,0.7333333333333333
BDS Dentistry (5 years),A206,2024,Home,780,339,107,uom_dentistry_stats,0.4346153846153846,0.1371794871794872,0.31563421828908556
BDS Dentistry (5 years),A206,2024,Overseas,172,18,8,uom_dentistry_stats,0.10465116279069768,0.046511627906976744,0.4444444444444444
BDS Dentistry (5 years),A206,2023,Home,858,340,99,uom_dentistry_stats,0.3962703962703963,0.11538461538461539,0.2911764705882353
BDS Dentistry (5 years),A206,2023,Overseas,146,11,8,uom_dentistry_stats,0.07534246575342465,0.0547945205479452,0.7272727272727273
BDS Dentistry (5 years),A206,2022,Home,869,306,80,uom_dentistry_stats,0.3521288837744534,0.09205983889528194,0.26143790849673204
BDS Dentistry (5 years),A206,2022,Overseas,184,12,12,uom_dentistry_stats,0.06521739130434782,0.06521739130434782,1.0
BDS Dentistry (5 years),A206,2021,Home,1018,363,175,uom_dentistry_stats,0.3565815324165029,0.1719056974459725,0.4820936639118457
BDS Dentistry (5 years),A206,2021,Overseas,83,6,4,uom_dentistry_stats,0.07228915662650602,0.04819277108433735,0.6666666666666666
BDS Dentistry (5 years),A206,2020,Home,983,537,208,uom_dentistry_stats,0.5462868769074263,0.2115971515768057,0.38733705772811916
BDS Dentistry (5 years),A206,2020,Overseas,88,17,11,uom_dentistry_stats,0.19318181818181818,0.125,0.6470588235294118
